,0,1,2,3,4
0,2016-05-30,ebooks_jack,2016-05-31 00:24:03,"Watching LIVE with Periscope, portrait or landscape!",Positive
1,2016-05-30,ebooks_jack,2016-05-30 22:24:03,Got a haircut at Genos!,Negative
2,2016-05-30,ebooks_jack,2016-05-30 20:24:03,"Both companies have strong businesses and are well positioned to grow their impact in the world, and -employee support!",Positive
3,2016-05-30,ebooks_jack,2016-05-30 18:24:03,"Welcome to continue to refine it to make Twitter feel more, not less, live!",Positive
4,2016-05-30,ebooks_jack,2016-05-30 16:24:03,Right on the Internet with a haircut yesterday.,Negative
5,2016-05-30,ebooks_jack,2016-05-30 14:24:03,This movement came from &amp; who we are.,Positive
6,2016-05-30,ebooks_jack,2016-05-30 12:24:03,? w Twitter: #LALvGSW,Negative
7,2016-05-30,ebooks_jack,2016-05-30 10:24:03,You gotta start with John Oliver: Online Harassment,Negative
8,2016-05-30,ebooks_jack,2016-05-30 08:24:03,?? access to the upcoming games by tapping/clicking this hashtag: #bpl,Negative
9,2016-05-30,ebooks_jack,2016-05-30 06:24:03,Twitter is the lowest rate out there: 1.5%!,Negative
10,2016-05-30,ebooks_jack,2016-05-30 04:24:03,And we stand for gives us back in 2008: James chose Twitter instead of text and hed get a jack wants to know what youre doing! text,Negative
11,2016-05-30,ebooks_jack,2016-05-30 02:24:03,Take 30 seconds this morning to fund UNICEF relief efforts for children and families affected by the earthquakes in Nepal:,Negative
12,2016-05-30,ebooks_jack,2016-05-30 00:24:03,By becoming more context now so you can now have an app.,Positive
13,2016-05-30,ebooks_jack,2016-05-29 22:24:03,Black Seed Bagels in the ?? now deliver.,Positive
14,2016-05-30,ebooks_jack,2016-05-29 20:24:03,"They used it as a source, to see whats trending now? on iPhone 6s: 3D Touch (press in) the Twitter icon and tap search!",Negative
15,2016-05-30,ebooks_jack,2016-05-29 18:24:03,Watched on #Periscope: Happening now in Ferguson,Negative
16,2016-05-30,ebooks_jack,2016-05-29 16:24:03,LIVE on Twitter: please tweet your ideas and requests using hashtag #helloworld.,Positive
17,2016-05-30,ebooks_jack,2016-05-29 14:24:03,"Steph Curry is to have some proper, full-on debates and arguments.",Positive
18,2016-05-30,ebooks_jack,2016-05-29 12:24:03,"A special moment for us to listen to you, and build together!",Positive
19,2016-05-30,ebooks_jack,2016-05-29 10:24:03,"Once again created by people using it to make Twitter feel more, not less, live!",Positive
20,2016-05-30,ebooks_jack,2016-05-29 08:24:03,He Starts a pro,Negative
21,2016-05-30,ebooks_jack,2016-05-29 06:24:03,"And Twitter easy to understand by anyone in the world, and give more utility to the people who love to use it daily!",Positive
22,2016-05-30,ebooks_jack,2016-05-29 04:24:03,Watch a static social/friend graph.,Negative
23,2016-05-30,ebooks_jack,2016-05-29 02:24:03,"And we stand for speaking truth to power, and empowering dialogue.",Positive
24,2016-05-30,ebooks_jack,2016-05-29 00:24:03,We have a smaller part of something big than a bigger part of why we grew so quickly and still a big reason why people use Twitter: news.,Negative
25,2016-05-30,ebooks_jack,2016-05-28 22:24:03,Enjoy the ?? now deliver.,Positive
26,2016-05-30,ebooks_jack,2016-05-28 20:24:03,"Twitter is the most powerful set of tools to start, run &amp; grow a business.",Positive
27,2016-05-30,ebooks_jack,2016-05-28 18:24:03,1 each day for the past 3 months we have increased our speed and urgency at both companies.,Positive
28,2016-05-30,ebooks_jack,2016-05-28 16:24:03,Follow this and the best Grammy tweets will be in your TL LIVE,Positive
29,2016-05-30,ebooks_jack,2016-05-28 14:24:03,"Just finished 7 years old companies, and yet the brand actually stands for something.",Negative
30,2016-05-30,ebooks_jack,2016-05-28 12:24:03,watching LIVE on #Periscope: Huskers gonna get the ?!,Negative
31,2016-05-30,ebooks_jack,2016-05-28 10:24:03,"Last California sunset of many companies, and reinvest in our growth.",Negative
32,2016-05-30,ebooks_jack,2016-05-28 08:24:03,Thank you for your passion and trust.,Positive
33,2016-05-30,ebooks_jack,2016-05-28 06:24:03,watching LIVE on #Periscope: Game 2 BP!,Positive
34,2016-05-30,ebooks_jack,2016-05-28 02:24:03,Listen to Hell You Talmbout Instrumental by A$$tronaut¡øBeatz #np on #SoundCloud,Positive
35,2016-05-30,ebooks_jack,2016-05-28 00:24:03,"How one Broncos player used Twitter to focus our roadmap on a few things about each company, and their impact in the world.",Positive
36,2016-05-30,ebooks_jack,2016-05-27 22:24:03,Watching LIVE on #Periscope: Happening now in Ferguson,Negative
37,2016-05-30,ebooks_jack,2016-05-27 20:24:03,"Ive been something weve seen for over the Berlin Wall, man.",Negative
38,2016-05-30,ebooks_jack,2016-05-27 18:24:03,Watching LIVE on #Periscope: #Kyoto #morning #raining,Negative
39,2016-05-30,ebooks_jack,2016-05-27 16:24:03,"6 or watch LIVE with Periscope, portrait or in-person!",Positive
40,2016-05-30,ebooks_jack,2016-05-27 14:24:03,"13/Twitter has more global awareness than most century old companies, and talk!",Positive
41,2016-05-30,ebooks_jack,2016-05-27 12:24:03,Jaws 2 #MakeAHorrorMovieHarmless,Negative
42,2016-05-30,ebooks_jack,2016-05-27 10:24:03,This is going to change the world over night.,Positive
43,2016-05-30,ebooks_jack,2016-05-27 08:24:03,Birthdays are always a good time to read: #FergusonTaughtMe,Positive
44,2016-05-30,ebooks_jack,2016-05-27 06:24:03,200 million live streams...so far!,Negative
45,2016-05-30,ebooks_jack,2016-05-27 04:24:03,????? 1/Twitter turns 9 years old today!,Negative
46,2016-05-30,ebooks_jack,2016-05-27 02:24:03,"Chris Rock on Ferguson, Cosby, and a balanced perspective drawn from what the people experience.",Positive
47,2016-05-30,ebooks_jack,2016-05-27 00:24:03,Twitter can help children and families affected by the earthquakes in Nepal:,Negative
48,2016-05-30,ebooks_jack,2016-05-26 22:24:03,On to the people and growing!,Negative
49,2016-05-30,ebooks_jack,2016-05-26 20:24:03,Take 30 seconds to the DM!,Negative
50,2016-05-30,ebooks_jack,2016-05-26 18:24:03,9/We saw that Tuesday with a $cashtag!,Negative
51,2016-05-30,ebooks_jack,2016-05-26 16:24:03,2/So many around the world!,Negative
52,2016-05-30,ebooks_jack,2016-05-26 14:24:03,"Give me and our leadership, and help us recruit the best folks to Twitter.",Positive
53,2016-05-30,ebooks_jack,2016-05-26 12:24:03,The Angry Eye - Brown Eye-Blue Eye Experiment - Only One Slice at a haircut at Genos!,Negative
54,2016-05-30,ebooks_jack,2016-05-26 10:24:03,1 in 4 active US credit cards have been saying publicly for the next 99 days!,Positive
55,2016-05-30,ebooks_jack,2016-05-26 08:24:03,Last California sunset of your day to fund UNICEF relief efforts for children and families displaced by the #NepalEarthquake:,Negative
56,2016-05-30,ebooks_jack,2016-05-26 06:24:03,LIVE on #Periscope: #Kyoto #morning #raining,Negative
57,2016-05-30,ebooks_jack,2016-05-26 04:24:03,"And this later this week, but want to set the record straight now:",Negative
58,2016-05-30,ebooks_jack,2016-05-26 02:24:03,And this is a big move.,Negative
59,2016-05-30,ebooks_jack,2016-05-26 00:24:03,Pull to refresh to go out of your way to get a jack wants to know what youre doing! text,Negative
60,2016-05-30,ebooks_jack,2016-05-25 22:24:03,If you see a +19% lift in customer satisfaction.,Positive
61,2016-05-30,ebooks_jack,2016-05-25 20:24:03,Tx for the Periscope team at Twitter.,Positive
62,2016-05-30,ebooks_jack,2016-05-25 18:24:03,Delivered in California?? can now pay their employees through Square...instantly!,Negative
63,2016-05-30,ebooks_jack,2016-05-25 16:24:03,Watching LIVE on Twitter.,Positive
64,2016-05-30,ebooks_jack,2016-05-25 14:24:03,1 in 4 active US credit cards have been saying publicly for the past 3 months we have increased our speed and urgency at both companies.,Positive
65,2016-05-30,ebooks_jack,2016-05-25 12:24:03,Cant believe theres finally more value in Squares software and services than in the hardware dongle were known for.,Negative
66,2016-05-30,ebooks_jack,2016-05-25 10:24:03,Especially the Homeless One man band,Negative
67,2016-05-30,ebooks_jack,2016-05-25 08:24:03,Good way to see whats trending now? on iPhone 6s: 3D Touch (press in) the Twitter icon and tap search!,Positive
68,2016-05-30,ebooks_jack,2016-05-25 06:24:03,My favorite coffee in Nepal:,Positive
69,2016-05-30,ebooks_jack,2016-05-25 04:24:03,Industry average is about 1% so this is a fascinating way to experience an election year.,Negative
70,2016-05-30,ebooks_jack,2016-05-25 02:24:03,The Strange and Surprising History of both companies using Twitter for customer service see a +19% lift in customer satisfaction.,Positive
71,2016-05-30,ebooks_jack,2016-05-25 00:24:03,LIVE on #Periscope: #Kyoto #morning #raining,Negative
72,2016-05-30,ebooks_jack,2016-05-24 22:24:03,watching LIVE on #Periscope: NVJets cleared for takeoff,Positive
73,2016-05-30,ebooks_jack,2016-05-24 20:24:03,"A special moment for us to listen, and a balanced perspective drawn from what the people experience.",Positive
74,2016-05-30,ebooks_jack,2016-05-24 18:24:03,Pay with your fingerprint.,Negative
75,2016-05-30,ebooks_jack,2016-05-24 16:24:03,Senseless and represent a movement.,Positive
76,2016-05-30,ebooks_jack,2016-05-24 14:24:03,"Good way to make Twitter easy to understand by anyone in the world, and give more utility to the people who love to use it daily!",Positive
77,2016-05-30,ebooks_jack,2016-05-24 12:24:03,Never seen this list.,Negative
78,2016-05-30,ebooks_jack,2016-05-24 10:24:03,"This is going to continue to work to earn it, and we will continue to listen, and talk!",Positive
79,2016-05-30,ebooks_jack,2016-05-24 08:24:03,Squares come to stand for empowerment and a positive force in civil society.,Positive
80,2016-05-30,ebooks_jack,2016-05-24 06:24:03,"Square Payroll is now LIVE in 5 years, would be good to see him:",Positive
81,2016-05-30,ebooks_jack,2016-05-24 04:24:03,Square sellers dont have to be prepared to literally put your physical body in the hardware dongle were known for.,Negative
82,2016-05-30,ebooks_jack,2016-05-24 02:24:03,Theres a few things we can kill you.,Negative
83,2016-05-30,ebooks_jack,2016-05-23 22:24:03,We want you all to know were always listening.,Positive
84,2016-05-30,ebooks_jack,2016-05-23 20:24:03,"4/After the tech early-adopters, journalists around the time and questions!",Positive
85,2016-05-30,ebooks_jack,2016-05-23 18:24:03,? w Twitter: #LALvGSW,Negative
86,2016-05-30,ebooks_jack,2016-05-23 16:24:03,"Give me and our leadership, and help children and families affected by the earthquakes in Nepal:",Negative
87,2016-05-30,ebooks_jack,2016-05-23 14:24:03,Watching LIVE on #Periscope: Join our first ?side chat!,Positive
88,2016-05-30,ebooks_jack,2016-05-23 12:24:03,A few of our time.,Positive
89,2016-05-30,ebooks_jack,2016-05-23 10:24:03,Order through tweets!: #Periscope,Negative
90,2016-05-30,ebooks_jack,2016-05-23 08:24:03,Works amazingly convenient!,Positive
91,2016-05-30,ebooks_jack,2016-05-23 06:24:03,For A More Ordered Life by The Weeknd,Negative
92,2016-05-30,ebooks_jack,2016-05-23 04:24:03,Go LIVE in 5 more states!,Negative
93,2016-05-30,ebooks_jack,2016-05-23 02:24:03,Watching LIVE on #Periscope: Happening now in Ferguson,Negative
94,2016-05-30,ebooks_jack,2016-05-23 00:24:03,watching LIVE on #Periscope: Huskers gonna get the upset,Negative
95,2016-05-30,ebooks_jack,2016-05-22 22:24:03,(put simply: if you leave it open it auto updates!),Negative
